,ID8102,YEAR,OUTCOME,OUTCMYEAR,switcher,instresp,XL.AREA,age1.fav,age2.fav,age3.fav,age4.fav,age5.fav,age6.fav,age7.fav,age8.fav,age9.fav,age10.fav,age11.fav,age12.fav,age1.opp,age2.opp,age3.opp,age4.opp,age5.opp,age6.opp,age7.opp,age8.opp,age9.opp,age10.opp,age11.opp,age12.opp,age1.dk,age2.dk,age3.dk,age4.dk,age5.dk,age6.dk,age7.dk,age8.dk,age9.dk,age10.dk,age11.dk,age12.dk,edu1.fav,edu2.fav,edu3.fav,edu4.fav,edu5.fav,edu6.fav,edu7.fav,edu8.fav,edu9.fav,edu10.fav,edu11.fav,edu12.fav,edu1.opp,edu2.opp,edu3.opp,edu4.opp,edu5.opp,edu6.opp,edu7.opp,edu8.opp,edu9.opp,edu10.opp,edu11.opp,edu12.opp,edu1.dk,edu2.dk,edu3.dk,edu4.dk,edu5.dk,edu6.dk,edu7.dk,edu8.dk,edu9.dk,edu10.dk,edu11.dk,edu12.dk,inc1.fav,inc2.fav,inc3.fav,inc4.fav,inc5.fav,inc6.fav,inc7.fav,inc8.fav,inc9.fav,inc10.fav,inc11.fav,inc12.fav,inc1.opp,inc2.opp,inc3.opp,inc4.opp,inc5.opp,inc6.opp,inc7.opp,inc8.opp,inc9.opp,inc10.opp,inc11.opp,inc12.opp,inc1.dk,inc2.dk,inc3.dk,inc4.dk,inc5.dk,inc6.dk,inc7.dk,inc8.dk,inc9.dk,inc10.dk,inc11.dk,inc12.dk,white.fav,black.fav,hispa.fav,asina.fav,white.opp,black.opp,hispa.opp,asina.opp,white.dk,black.dk,hispa.dk,asian.dk,pid1.fav,pid2.fav,pid3.fav,pid4.fav,pid5.fav,pid6.fav,pid7.fav,pid1.opp,pid2.opp,pid3.opp,pid4.opp,pid5.opp,pid6.opp,pid7.opp,pid1.dk,pid2.dk,pid3.dk,pid4.dk,pid5.dk,pid6.dk,pid7.dk,ideo1.fav,ideo2.fav,ideo3.fav,ideo4.fav,ideo5.fav,ideo6.fav,ideo7.fav,ideo1.opp,ideo2.opp,ideo3.opp,ideo4.opp,ideo5.opp,ideo6.opp,ideo7.opp,ideo1.dk,ideo2.dk,ideo3.dk,ideo4.dk,ideo5.dk,ideo6.dk,ideo7.dk,male.fav,female.fav,male.opp,female.opp,male.dk,female.dk,protes.fav,cathlc.fav,jewish.fav,seculr.fav,protes.opp,cathlc.opp,jewish.opp,seculr.opp,protes.dk,cathlc.dk,jewish.dk,seculr.dk,east.fav,south.fav,midwst.fav,west.fav,east.opp,south.opp,midwst.opp,west.opp,east.dk,south.dk,midwst.dk,west.dk,nounn.fav,union.fav,nounn.opp,union.opp,nounn.dk,union.dk,pred10.sw,pred30.sw,pred50.sw,pred70.sw,pred90.sw,PREDALL.SW,INTGRP.STFAV,INTGRP.SWFAV,INTGRP.STOPP,INTGRP.SWOPP,AARP,AFLCIO,Airlines,AmericanBankersAssociation,AmericanCouncilofLifeInsurance,AmericanFarmBureauFederation,AmericanFederationofStateCountya,AmericanHospitalAssociation,AmericanIsraelPublicAffairsCommi,AmericanLegion,AmericanMedicalAssociation,AssociationofTrialLawyers,Automobilecompanies,ChamberofCommerce,ChristianCoalition,Computersoftwareandhardware,CreditUnionNationalAssociation,Defensecontractors,Electriccompanies,HealthInsuranceAssociation,IndependentInsuranceAgentsofAmer,InternationalBrotherhoodofTeamst,MotionPictureAssociationofAmeric,NationalAssociationofBroadcaster,NationalAssociationofHomeBuilder,NationalAssociationofManufacture,NationalAssociationofRealtors,NationalBeerWholesalersAssociati,NationalEducationAssociation,NationalFederationofIndependentB,NationalGovernorsAssociation,NationalRestaurantAssociation,NationalRifleAssociation,NationalRighttoLifeCommittee,OilCompanies,PharmaceuticalResearchManufactur,RecordingIndustryAssociation,Securitiesandinvestmentcompanies,Telephonecompanies,Tobbacocompanies,UnitedAutoWorkersunion,Universities,VeteransofForeignWarsoftheU.S,ECYN,SWYN,FPYN,RLYN,GNYN,ideology,QuestionText,change,rich.want,middle.want,poor.want,diff
49,825,1994,0,NA,0,2,foreign pol,82.11000061,101.4000015,74.98000336,61.20000076,35.09000015,0,NA,NA,NA,NA,NA,NA,59.56999969,70.19999695,65.19999695,70.37999725,60.5,0,NA,NA,NA,NA,NA,NA,19.31999969,25.35000038,22.81999969,21.42000008,25.40999985,0,NA,NA,NA,NA,NA,NA,36.40000153,96,95.84999847,71.81999969,51.47999954,NA,NA,NA,NA,NA,NA,NA,18.20000076,108,93.72000122,82.08000183,35.63999939,NA,NA,NA,NA,NA,NA,NA,15.39999962,36,23.43000031,15.39000034,12.86999989,NA,NA,NA,NA,NA,NA,NA,69.91999817,87.73999786,80.04000092,69.66000366,37.43999863,0,0,0,0,0,0,0,50.15999985,98.44000244,74.81999969,45.15000153,30.95999908,0,0,0,0,0,0,0,31.92000008,27.81999969,17.39999962,14.18999958,3.599999905,0,NA,NA,NA,NA,NA,NA,289.8200073,32.33000183,12.22000027,5.039999962,276.3399963,21.95999908,13.77999973,5.400000095,101.0999985,6.710000038,0,1.440000057,84.62999725,140.5,116.0999985,NA,NA,NA,NA,95.48000336,103.9700012,108.3600006,NA,NA,NA,NA,36.88999939,36.52999878,33.54000092,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,196,164,160,168,44,68,0,0,0,0,0,0,0,0,0,0,0,0,73.91999817,133.2799988,90,60.79999924,70.55999756,95.19999695,80,83.19999695,23.52000046,43.52000046,30,16,0,0,0,0,0,0,0.559397697,0.511128247,0.499077976,0.526259422,0.586015821,0.536375833,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0, Do you favor or oppose the use of U.S. (United States) armed forces as part of a United Nations mission to try to stop the violence in Rwanda (Africa)?,FALSE,TRUE,FALSE,TRUE,1
50,845,1993,0,NA,0,1,immigration,110.4499969,147.8699951,75.59999847,105.5599976,112.6399994,0,NA,NA,NA,NA,NA,NA,122.1999969,131.1300049,130.1999969,91.34999847,54.56000137,0,NA,NA,NA,NA,NA,NA,2.349999905,2.789999962,4.199999809,6.090000153,8.800000191,0,NA,NA,NA,NA,NA,NA,61.40999985,176.1300049,131.6000061,101.2699966,44.20000076,NA,NA,NA,NA,NA,NA,NA,25.80999947,123.5999985,194.1100006,143.2599945,85.80000305,NA,NA,NA,NA,NA,NA,NA,1.779999971,9.270000458,3.289999962,4.940000057,1.299999952,NA,NA,NA,NA,NA,NA,NA,126.2600021,147.3399963,120.5,63.95999908,44.45999908,0,0,0,0,0,0,0,83.45999908,127.8799973,118.0899963,95.12000275,72.54000092,0,0,0,0,0,0,0,4.28000021,2.779999971,2.410000086,4.920000076,0,0,NA,NA,NA,NA,NA,NA,451.2900085,37.22999954,18.47999954,13.60000038,442.0799866,35.04000092,9.520000458,3.400000095,18.42000008,0.730000019,0,0,138.0299988,191.3300018,197.6799927,NA,NA,NA,NA,173.3399963,166.0599976,151.7899933,NA,NA,NA,NA,9.630000114,3.609999895,7.059999943,NA,NA,NA,NA,234.8500061,206.0800018,83.72000122,NA,NA,NA,NA,183.6100006,228.4799957,96.45999908,NA,NA,NA,NA,8.539999962,13.43999958,1.820000052,NA,NA,NA,NA,265.4400024,288.6000061,282.0299988,249.75,5.53000021,16.64999962,0,0,0,0,0,0,0,0,0,0,0,0,109.1999969,173.3999939,130,141.6799927,100.8000031,163.1999969,110,160.1600037,0,6.800000191,10,6.159999847,0,0,0,0,0,0,0.596116662,0.560633421,0.51239115,0.453582346,0.387776852,0.502100086,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0, Here are some proposals concerning illegal immigration. Please tell me whether you favor or oppose each one.... Require all United States citizens to carry a national I.D. (identification) card.,FALSE,FALSE,TRUE,TRUE,-1
70,1145,1996,0,NA,0,1,immigration,74.45999908,98.27999878,89.09999847,76.5,63.70000076,0,NA,NA,NA,NA,NA,NA,67.16000366,85.05000305,102.9599991,62.72999954,52,0,NA,NA,NA,NA,NA,NA,4.380000114,5.670000076,5.940000057,13.77000046,14.30000019,0,NA,NA,NA,NA,NA,NA,28.15999985,113.2799988,136.0800018,84.80000305,35.31000137,NA,NA,NA,NA,NA,NA,NA,26.23999977,69.12000275,94.76999664,122.9599991,69.55000305,NA,NA,NA,NA,NA,NA,NA,9.600000381,9.600000381,14.57999992,4.239999771,3.210000038,NA,NA,NA,NA,NA,NA,NA,58.65000153,96.98999786,97.5,70.97000122,39.77999878,0,0,0,0,0,0,0,42.54999924,75.02999878,95.55000305,75.5,58.13999939,0,0,0,0,0,0,0,13.80000019,9.149999619,1.950000048,4.53000021,5.099999905,0,NA,NA,NA,NA,NA,NA,357,23.37000084,7.559999943,0,301,31.35000038,10.43999958,2,42,2.279999971,0,0,139.9199982,111.2300034,151.1999969,NA,NA,NA,NA,110.8799973,102.1500015,144.8999939,NA,NA,NA,NA,13.19999981,13.61999989,18.89999962,NA,NA,NA,NA,142.0399933,177,75.66999817,NA,NA,NA,NA,107.1999969,162.8399963,82.11000061,NA,NA,NA,NA,16.07999992,14.15999985,3.220000029,NA,NA,NA,NA,210.1199951,198.7200012,181.2799988,186.3000031,16.47999954,28.97999954,0,0,0,0,0,0,0,0,0,0,0,0,87.22000122,147.6799927,98.5,75.15000153,83.66000366,116.4400024,90.62000275,76.81999969,7.119999886,19.87999916,7.880000114,13.35999966,0,0,0,0,0,0,0.576066017,0.553342462,0.520593047,0.478442013,0.428742886,0.511437285,0,3,2,4,NA,1,NA,NA,NA,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,1,NA,NA,-1,-2,NA,NA,NA,NA,NA,-1,NA,NA,NA,-1,NA,NA,NA,NA,1,NA,NA,0,0,0,0,0,0, (Do you favor or oppose each of the following?)... Stopping legal immigration into the United States for five years  (Similar questions later),FALSE,FALSE,TRUE,TRUE,-1
72,1170,1996,0,NA,0,1,soc welfare,85.01999664,82.08000183,89.37999725,60.68000031,56.09999847,0,NA,NA,NA,NA,NA,NA,117.7200012,123.1200027,91.55999756,78.72000122,79.90000153,0,NA,NA,NA,NA,NA,NA,15.26000023,20.52000046,37.06000137,24.60000038,34,0,NA,NA,NA,NA,NA,NA,24.63999939,104.5199966,98.55999756,100.6200027,47.95999908,NA,NA,NA,NA,NA,NA,NA,42.34999847,128.6399994,175.5599976,100.6200027,44.68999863,NA,NA,NA,NA,NA,NA,NA,9.239999771,34.84000015,33.88000107,32.75999832,17.44000053,NA,NA,NA,NA,NA,NA,NA,24,44,43.86000061,51.25,37.43999863,0,0,0,0,0,0,0,39,50.59999847,36.72000122,61.25,45.75999832,0,0,0,0,0,0,0,12,15.39999962,21.42000008,11.25,20.79999924,0,NA,NA,NA,NA,NA,NA,337.2000122,19.5,13.93999958,3.869999886,396.2099915,47.25,23.78000069,3.690000057,109.5899963,7.5,2.869999886,1.350000024,89.27999878,108,147,NA,NA,NA,NA,155.5200043,156,161,NA,NA,NA,NA,43.20000076,36,42,NA,NA,NA,NA,111.1800003,182.3200073,75.26999664,NA,NA,NA,NA,166.7700043,199.2799988,100.3600006,NA,NA,NA,NA,49.04999924,46.63999939,19.29999924,NA,NA,NA,NA,190.7599945,187.9600067,251,248.9199982,60.24000168,66.04000092,0,0,0,0,0,0,0,0,0,0,0,0,81.90000153,113.8499985,99.05999756,84.41999817,109.1999969,179.3999939,127,86.43000031,21,51.75,27.94000053,30.14999962,0,0,0,0,0,0,0.407404542,0.475386679,0.504800081,0.486687779,0.432757854,0.461407387,0,0,1,0,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0, Please tell me whether you favor or oppose each of the following proposals. Reduce the amount of money the federal government spends on Social Security by raising the retirement age and reducing payments to wealthy recipients.  (similar questi,FALSE,FALSE,TRUE,FALSE,-1
73,1173,1996,0,NA,0,1,education,113.2799988,173.3399963,162.6199951,116.3799973,91,64.34999847,NA,NA,NA,NA,NA,NA,110.9199982,125.1900024,159.1600037,113.8499985,66.5,85.80000305,NA,NA,NA,NA,NA,NA,11.80000019,25.68000031,24.21999931,22.77000046,19.25,14.85000038,NA,NA,NA,NA,NA,NA,54.52000046,231.2400055,242.8200073,117.5999985,96.40000153,NA,NA,NA,NA,NA,NA,NA,44.08000183,226.3200073,161.8800049,115.1999969,130.1399994,NA,NA,NA,NA,NA,NA,NA,17.39999962,34.43999863,21.29999924,7.199999809,14.46000004,NA,NA,NA,NA,NA,NA,NA,45.65000153,192.2299957,126.9000015,72,114.2600021,164.1600037,0,0,0,0,0,0,8.800000191,184.0500031,138.1799927,120,82.73999786,112.4800034,0,0,0,0,0,0,0.550000012,32.72000122,16.92000008,8,1.970000029,27.36000061,NA,NA,NA,NA,NA,NA,629.7600098,64.19000244,30.23999977,7.360000134,603.5200195,44.54000092,22.04999924,8.640000343,78.72000122,22.27000046,10.71000004,0,216.7700043,198.7200012,218.5299988,NA,NA,NA,NA,175.8699951,173.8800049,255.8399963,NA,NA,NA,NA,16.36000061,41.40000153,53.29999924,NA,NA,NA,NA,337.4400024,213.2799988,154.1600037,NA,NA,NA,NA,219.0399933,238.0800018,210.5599976,NA,NA,NA,NA,35.52000046,44.63999939,15.03999996,NA,NA,NA,NA,375.9599915,359.5499878,310.8900146,359.5499878,43.38000107,79.90000153,0,0,0,0,0,0,0,0,0,0,0,0,178.5,245.8200073,218.5399933,97.16999817,157.0800018,173.5200043,200.6999969,132.7200012,21.42000008,62.65999985,26.76000023,7.110000134,0,0,0,0,0,0,0.614857674,0.477808118,0.432937503,0.481685638,0.620909214,0.525639629,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0," Do you favor or oppose establishing a school voucher program that would allow parents to use tax funds to send their children to the school of their choice, even if it were a private school?  (Similar to later questions)",FALSE,TRUE,FALSE,TRUE,1
78,1216,1997,0,NA,0,1,soc welfare,76.30000305,115.9199982,74,72.51999664,28.35000038,0,NA,NA,NA,NA,NA,NA,122.0800018,110.8799973,104,98,76.94999695,0,NA,NA,NA,NA,NA,NA,19.62000084,25.20000076,22,25.47999954,29.70000076,0,NA,NA,NA,NA,NA,NA,14.73999977,87.11000061,103.5999985,97.86000061,76.16000366,NA,NA,NA,NA,NA,NA,NA,41.54000092,157.3600006,142.8000031,102.5199966,48.95999908,NA,NA,NA,NA,NA,NA,NA,10.05000019,33.72000122,33.59999847,32.61999893,10.88000011,NA,NA,NA,NA,NA,NA,NA,44.24000168,75.40000153,77.51999664,84.95999908,71.91999817,0,0,0,0,0,0,0,94.80000305,156,104.0400009,70.80000305,38.43999863,0,0,0,0,0,0,0,18.95999908,28.60000038,22.44000053,21.23999977,13.64000034,0,NA,NA,NA,NA,NA,NA,314.2600098,21.84000015,8.960000038,5.099999905,413.5,50.40000153,21.44000053,8.25,107.5100021,11.76000023,1.600000024,1.799999952,121.3799973,125.1900024,107.0999985,NA,NA,NA,NA,127.1600037,157.2899933,210.6300049,NA,NA,NA,NA,40.45999908,35.31000137,39.27000046,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,220.8800049,148.7700043,225.8999939,297.5400085,55.22000122,71.81999969,121.7300034,111.3000031,8.640000343,12.47999954,164.5,127.1999969,2.880000114,25.92000008,42.77000046,26.5,4.480000019,9.600000381,95.40000153,104.0999985,92.5,76.22000122,89.04000092,190.8500061,132.5,107.1200027,27.55999947,52.04999924,22.5,22.65999985,0,0,0,0,0,0,0.312656045,0.331574321,0.394385815,0.496027827,0.635708094,0.43407042,1,0,1,0,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0,1,0,0,0,0," Thinking about Social Security, do you favor or oppose investing a portion of Social Security tax funds in the stock market?  (Similar to later questions)",FALSE,TRUE,FALSE,FALSE,1
84,1275,1997,0,NA,0,1,soc welfare,91.26000214,109.8899994,128.1000061,61.38000107,30.51000023,33.63999939,NA,NA,NA,NA,NA,NA,140.3999939,219.7799988,170.8000031,132.6600037,77.97000122,75.40000153,NA,NA,NA,NA,NA,NA,2.339999914,3.329999924,6.099999905,3.960000038,4.519999981,6.960000038,NA,NA,NA,NA,NA,NA,22,121.7699966,107.5999985,156.0399933,76,NA,NA,NA,NA,NA,NA,NA,74,324.7200012,156.0200043,169.3200073,71.44000244,NA,NA,NA,NA,NA,NA,NA,4,4.510000229,5.380000114,6.639999866,4.559999943,NA,NA,NA,NA,NA,NA,NA,10.22000027,41.08000183,67.56999969,140.7899933,88.31999969,94.86000061,0,0,0,0,0,0,58.40000153,112.1800003,163.1000061,216.6000061,97.91999817,87.41999817,0,0,0,0,0,0,4.380000114,4.739999771,2.329999924,3.609999895,5.760000229,3.720000029,NA,NA,NA,NA,NA,NA,412.9200134,29.70000076,4.340000153,9.659999847,699.6699829,80.30000305,26.65999985,11.34000015,34.40999985,0,0,0,152.4900055,133.5599976,141.5700073,NA,NA,NA,NA,230.6900024,230.0200043,274.5599976,NA,NA,NA,NA,7.820000172,3.710000038,12.86999989,NA,NA,NA,NA,165.3600006,130.6499939,90.55999756,NA,NA,NA,NA,250.1600037,194.3000031,186.7799988,NA,NA,NA,NA,8.479999542,10.05000019,5.659999847,NA,NA,NA,NA,263.2200012,193.4299927,372.3599854,446.8900146,6.420000076,20.01000023,0,0,0,0,0,0,0,0,0,0,0,0,90.44000244,152.2100067,127.1999969,86.45999908,140.4199982,328.9700012,184.4400024,167.6799927,4.760000229,9.819999695,6.360000134,5.239999771,248.9600067,63.68999863,474.5799866,119.6600037,54.45999908,7.71999979,0.225155234,0.304383576,0.38331598,0.455020547,0.511555314,0.37588613,1,0,1,0,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0,1,0,0,0,0, Some people favor investing a portion of Social Security tax funds in the stock market because this might lead to higher investment returns. Other people oppose this idea because they say the stock market is too unpredictable. What is your opi,FALSE,TRUE,FALSE,FALSE,1
89,1307,1997,0,NA,0,1,misc others,63.72000122,72.59999847,99,75.66999817,33.65999985,41.41999817,NA,NA,NA,NA,NA,NA,97.34999847,125.4000015,101.1999969,67.62000275,46.52999878,46.86999893,NA,NA,NA,NA,NA,NA,17.70000076,22,19.79999924,17.70999908,19.79999924,20.70999908,NA,NA,NA,NA,NA,NA,23.70000076,117.1500015,109.0400009,66.87999725,76.44000244,NA,NA,NA,NA,NA,NA,NA,42.65999985,198.8000031,102.0800018,86.23999786,59.27999878,NA,NA,NA,NA,NA,NA,NA,12.64000034,42.59999847,23.20000076,22.87999916,20.28000069,NA,NA,NA,NA,NA,NA,NA,32.09999847,33.58000183,53.63999939,74.91000366,76.31999969,80.30000305,0,0,0,0,0,0,60.99000168,30.65999985,81.94999695,127.1200027,65.19000244,51.09999847,0,0,0,0,0,0,13.90999985,8.760000229,14.89999962,22.70000076,17.48999977,13.14000034,NA,NA,NA,NA,NA,NA,327.1799927,28.84000015,8.699999809,0,383.0400085,59.74000168,17.39999962,0,95.76000214,15.44999981,3.190000057,0,158.7599945,108.6800003,112.1999969,NA,NA,NA,NA,132.8399963,160.1600037,168.3000031,NA,NA,NA,NA,32.40000153,17.15999985,49.5,NA,NA,NA,NA,139.2299957,178.8800049,63.70000076,NA,NA,NA,NA,167.7899933,199.6799927,101.9199982,NA,NA,NA,NA,49.97999954,37.43999863,18.20000076,NA,NA,NA,NA,214.5700073,176.75,244.5099945,252.5,44.90999985,80.80000305,0,0,0,0,0,0,0,0,0,0,0,0,73.77999878,136.5,102.9599991,73.26000214,119.3499985,146.25,134.6399994,97.01999664,23.87000084,45.5,26.39999962,27.71999931,0,0,0,0,0,0,0.402434051,0.381723285,0.408963323,0.48551017,0.609606385,0.457647443,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0," Another suggestion for reducing the problem of global warming is to increase the use of nuclear power as a source of energy and to decrease the use of fossil fuels, such as oil and gas. Would you, personally, favor or oppose the increased use",FALSE,TRUE,FALSE,FALSE,1
91,1336,1997,0,NA,0,1,soc welfare,127.4000015,150.4799957,141.4499969,110.5100021,44.00999832,34.5,NA,NA,NA,NA,NA,NA,115.1500015,181.2599945,182.8500061,136.2100067,104.3199997,108,NA,NA,NA,NA,NA,NA,4.900000095,10.26000023,17.25,10.27999973,14.67000008,7.5,NA,NA,NA,NA,NA,NA,49.20000076,186.8999939,125.5800018,191.7599945,77.51999664,NA,NA,NA,NA,NA,NA,NA,71.33999634,315.0599976,189.9799957,169.1999969,66.87999725,NA,NA,NA,NA,NA,NA,NA,2.460000038,32.04000092,6.440000057,15.03999996,7.599999905,NA,NA,NA,NA,NA,NA,NA,36.79999924,55.75999832,65.66999817,193.6000061,122.1200027,122.5500031,0,0,0,0,0,0,73.59999847,70.72000122,123.3799973,237.6000061,150.5200043,83.84999847,0,0,0,0,0,0,4.599999905,8.159999847,9.949999809,13.19999981,8.520000458,8.600000381,NA,NA,NA,NA,NA,NA,543.6599731,52.08000183,27.29999924,0,716.039978,70.68000031,36.40000153,0,66.30000305,1.24000001,1.299999952,0,209.3000031,216.4799957,188.6000061,NA,NA,NA,NA,227.5,285.1199951,262.2000122,NA,NA,NA,NA,18.20000076,26.39999962,9.199999809,NA,NA,NA,NA,204.0599976,246.1199951,162.4499969,NA,NA,NA,NA,306.0899963,316.4400024,187.7200012,NA,NA,NA,NA,21.47999954,23.44000053,10.82999992,NA,NA,NA,NA,314.5499878,301.9200134,356.4899902,481.4400024,27.95999908,32.63999939,0,0,0,0,0,0,0,0,0,0,0,0,129.8600006,209.0399933,151.1999969,133.1399994,157.0399933,310.8800049,190.8000031,171.1799927,15.10000038,16.07999992,14.39999962,12.68000031,261.3599854,42.45999908,658.2399902,142.8200073,48.40000153,7.71999979,0.376691699,0.393068969,0.427077115,0.482239544,0.554188013,0.446653068,1,0,1,0,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0,1,0,0,0,0," As you may know, the Social Security system is expected to begin running out of money in 15 years or so. One proposal to help avoid that is to put some or all Social Security money into stock and bonds. This could produce more retirement money",FALSE,TRUE,FALSE,FALSE,1
92,1357,1998,0,NA,0,1,education,179.1399994,182.3999939,232.3200073,118.4700012,40.84999847,0,NA,NA,NA,NA,NA,NA,145.3399963,186.1999969,232.3200073,222.5800018,54.15000153,0,NA,NA,NA,NA,NA,NA,13.52000046,11.39999962,19.36000061,14.35999966,0,0,NA,NA,NA,NA,NA,NA,56.75999832,236.9299927,248,171,131.3200073,NA,NA,NA,NA,NA,NA,NA,72.59999847,281.0100098,341,193.8000031,123.2799988,NA,NA,NA,NA,NA,NA,NA,2.640000105,33.06000137,24.79999924,15.19999981,13.39999962,NA,NA,NA,NA,NA,NA,NA,40.04000092,83.84999847,116.3399963,186.9600067,166.0800018,151.4100037,0,0,0,0,0,0,39.13000107,101.4000015,155.1199951,285.3599854,159.1600037,154.5,0,0,0,0,0,0,11.82999992,11.69999981,8.31000042,19.68000031,24.21999931,3.089999914,NA,NA,NA,NA,NA,NA,701.3300171,108.9599991,52.91999817,7.039999962,848.1199951,115.7699966,66.77999878,14.96000004,81.55000305,2.269999981,5.039999962,0,237.0599976,329.6400146,217.0800018,NA,NA,NA,NA,193.1600037,434.1600037,355.769989,NA,NA,NA,NA,8.779999733,40.20000076,36.18000031,NA,NA,NA,NA,314.6700134,235.8399963,167.9600067,NA,NA,NA,NA,277.6499939,278.7200012,306.2799988,NA,NA,NA,NA,24.68000031,21.44000053,19.76000023,NA,NA,NA,NA,427.3399963,441.5700073,455.2099915,592.3499756,46.45000076,43.08000183,0,0,0,0,0,0,0,0,0,0,0,0,178.1999969,299.7099915,206.3600006,186.4799957,201.9600067,376.3800049,234.5,235.3200073,19.79999924,27.87999916,28.13999939,22.20000076,1582.48999,250.9799957,139.1199951,16.02000046,17.38999939,1.335000038,0.457562387,0.423206091,0.421917796,0.453608751,0.517359614,0.454730928,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0," I'm going to read you a list of proposals that have been introduced in Congress this year. For each one I read, please tell me whether you favor or oppose this proposal.... Providing taxpayer funded vouchers to help parents pay for private sch",FALSE,TRUE,FALSE,FALSE,1
95,1444,2000,0,NA,1,NA,defense,48,65,101,87,62,75,NA,NA,NA,NA,NA,NA,89,86,111,74,39,68,NA,NA,NA,NA,NA,NA,20,18,25,10,16,30,NA,NA,NA,NA,NA,NA,46,162,126,75,40,NA,NA,NA,NA,NA,NA,NA,61,199,119,57,39,NA,NA,NA,NA,NA,NA,NA,25,40,33,13,9,NA,NA,NA,NA,NA,NA,NA,34,73,131,85,91,0,0,0,0,0,0,0,34,130,137,77,69,0,0,0,0,0,0,0,16,30,29,12,12,NA,NA,NA,NA,NA,NA,NA,379,32,16,8,351,71,32,4,93,14,8,3,189,77,41,40,102,NA,NA,86,43,55,91,203,NA,NA,24,14,27,18,39,NA,NA,187,183,69,NA,NA,NA,NA,141,177,140,NA,NA,NA,NA,39,35,28,NA,NA,NA,NA,258,192,200,276,46,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,162,112,93,97,167,105,107,24,43,28,26,NA,NA,NA,NA,NA,NA,0.590412855,0.567541122,0.531653941,0.482692897,0.424698532,0.519399869,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,Do you favor or oppose increasing defense spending by at least twenty billion dollars by the year 2006?,FALSE,FALSE,TRUE,TRUE,-1
