No.,Legacy,Fund,Revenue Accounts,FY 1978,FY 1979,FY 1980,FY 1981,FY 1982,FY 1983,FY 1984,FY 1985,FY 1986,FY 1987,FY 1988,FY 1989,FY 1990,FY 1991,FY 1992,FY 1993,FY 1994,FY 1995,FY 1996,FY 1997,FY 1998,FY 1999,FY 2000,FY 2001,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017
60,A001-093,General,,417416.00,186156.00,240798.00,236943.00,254655.00,264356.00,290200.00,225538.00,282703.00,275523.00,288734.00,354154.00,337013.00,300231.00,276463.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
61,A001-096,General,,1498794.00,1205745.00,1232230.00,1195751.00,1138383.00,1091985.00,1057129.00,1006190.00,989944.00,947623.00,950661.00,885205.00,879117.00,815466.00,516895.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
62,A001-097,General,,4506695.00,3605356.00,3605355.00,3605357.00,3605356.00,3605355.00,3605357.00,3605356.00,3605356.00,3605356.00,3605406.00,3605306.00,3605356.00,3605356.00,2704123.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
63,A001-098,General,,1353556.00,1387485.00,1321669.00,1308750.00,1454254.00,918476.00,815858.00,815780.00,1131459.00,1314186.00,2000000.00,1513645.00,1250000.00,1018141.00,834571.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
64,A001-101,General,State Highway User Revenue, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,157662144.00,158466103.00,164833673.00,174356780.00,173935174.00,173825699.00,170004600.00,200604908.00,223205618.00,227279509.00,214400068.00,188715254.00,132655208.00,127994456.00,129295350.00,129854777.00,132276865.00,133685316.00,142212569.00,140452484.00
65,A001-103,General,,5888.00,4.00, $-   ,37989.00,38841.00,33319.00,28191.00,33719.00,26077.00,48191.00,69652.00,69338.00,66842.00,85758.00,118809.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
66,A001-104,General,, $-   , $-   , $-   ,2532374.00,3294325.00,2536995.00,4085210.00,1823984.00,2013751.00,2320250.00,2497677.00,2450823.00,2233334.00,1965100.00,1875089.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
67,A001-115,General,,123429.00,124953.00,122173.00,103235.00,92975.00,91499.00,99283.00,117459.00,119692.00,127566.00,138189.00,129727.00,113966.00,99676.00,84899.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
68,A001-120,General,City/State Business,852407.00,690845.00,806091.00,887599.00,905430.00,922613.00,1321235.00,1517046.00,1532867.00,1495945.00,1606388.00,1524036.00,1597227.00,1899848.00,1969471.00,1950878.00,1796025.00,1926687.00,1629425.00,2066140.00,1834450.00,977340.00,1757417.00,1805249.00,2586404.00,1707813.00,1857380.00,1518342.00,1814035.00,1821508.00,1801658.00,1845461.00,1399061.00,1818511.00,1761276.00,1686387.00,1900000.00,1900000.00,1725229.00,1603523.00
69,A001-122,General,Alcoholic Beverage,1446049.00,1443647.00,1397744.00,1438809.00,1429352.00,1347670.00,1379870.00,1413923.00,1412926.00,1424636.00,1420065.00,1404907.00,1479608.00,1443852.00,1467321.00,1397776.00,1459483.00,1450946.00,1499948.00,1454558.00,1425136.00,1494271.00,1507929.00,1706951.00,1674940.00,1622364.00,1614036.00,1678477.00,1644685.00,1640344.00,1623002.00,1961796.00,2048320.00,2004195.00,1990290.00,1748542.00,1640967.00,1729626.00,2446565.00,2109602.00
70,A001-123,General,Marriage, $-   , $-   , $-   , $-   , $-   ,35140.00,36270.00,34695.00,39010.00,35185.00,37782.00,37669.00,37056.00,32470.00,32100.00,31960.00,30950.00,29684.00,27919.00,30204.00,28975.00,28575.00,29630.00,27980.00,33439.00,30115.00,25530.00,24920.00,27295.00,20590.00,22645.00,21890.00,21240.00,21020.00,18790.00,17495.00,18910.00,65892.00,19090.00,24857.00
71,A001-125,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
72,A001-126,General,Media Production Services, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,29620.00,30681.00,50955.00, $-   ,12975.00,77162.00
73,A001-127,General,Cable TV Franchise Fee, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,12265.00,270783.00,755581.00,1345468.00,2091047.00,2366440.00,2453909.00,2708616.00,2616058.00,2777554.00,3084708.00,3229811.00,3395943.00,3596419.00,3780931.00,3955852.00,4131537.00,4359732.00,4476834.00,4645920.00,4953240.00,5290052.00,5732178.00,5811911.00,6130459.00,6124849.00,6588294.00,6790917.00,7051308.00,5490599.00,7474120.00
74,A001-128,General,Fire Prevention - Fire Code, $-   , $-   , $-   , $-   , $-   , $-   ,53105.00,78395.00,93430.00,96230.00,117406.00,180693.00,182257.00,183115.00,231235.00,232840.00,222207.00,266870.00,372789.00,380832.00,385703.00,571009.00,572830.00,585663.00,560522.00,814154.00,975189.00,1125274.00,1203702.00,1271630.00,1452427.00,1390961.00,1383084.00,1156310.00,1578355.00,1776257.00,1121280.00,1656864.00,1417567.00,1948357.00
75,A001-129,General,Rental Property Registrations, $-   , $-   , $-   , $-   ,478102.00,463552.00,450288.00,462801.00,421101.00,423454.00,398900.00,413454.00,420823.00,436882.00,417752.00,420607.00,571559.00,546698.00,509808.00,556651.00,492600.00,452459.00,390263.00,408634.00,742672.00,831899.00,1024024.00,1453970.00,1747200.00,1314322.00,1558294.00,1643701.00,1719798.00,1578979.00,4968526.00,4691724.00,4750445.00,4805846.00,4870890.00,5118154.00
76,A001-130,General,Multiple Family Dwelling Permits,581073.00,551021.00,544075.00,551211.00,668014.00,701395.00,1376485.00,1478684.00,1564091.00,1519448.00,1538103.00,1491422.00,1527069.00,1527618.00,1506057.00,1796768.00,1813041.00,1755392.00,1798747.00,1760694.00,1810499.00,1782003.00,1682634.00,2540885.00,2596320.00,2496899.00,2580317.00,2486140.00,2503328.00,2511891.00,2404830.00,2491041.00,2479360.00,2558997.00,12602.00,16341.00,2815.00,1778.00, $-   , $-   
77,A001-131,General,Miscellaneous Building Inspection Revenue,125304.00,58270.00,168691.00,178925.00,215440.00,225396.00,101067.00,501763.00,308030.00,626083.00,675869.00,505718.00,876640.00,567252.00,565331.00,328979.00,501402.00,1466659.00,881491.00,1366735.00,1329434.00,730610.00,3128308.00,505638.00,342846.00,441298.00,566453.00,1060032.00,1164191.00,1834250.00,1471805.00,1144419.00,929759.00,976035.00,878440.00,986583.00,1098213.00,996038.00,1027830.00,1009128.00
78,A001-132,General,Building Construction Permits,330604.00,348325.00,586916.00,592119.00,601944.00,718760.00,707067.00,717095.00,848635.00,716900.00,801802.00,774118.00,876364.00,787392.00,750874.00,647445.00,562135.00,961620.00,950020.00,743535.00,1563697.00,2090659.00,2822324.00,2684137.00,3798972.00,3190900.00,4284656.00,4464598.00,5392231.00,6457881.00,7617431.00,4695045.00,3992802.00,3770099.00,4415449.00,4461845.00,5487336.00,4348743.00,5488286.00,5636947.00
79,A001-133,General,Electrical Installation Permits,207545.00,281160.00,390254.00,350815.00,320966.00,372360.00,332532.00,332917.00,382862.00,329482.00,297039.00,350137.00,438661.00,416981.00,369152.00,338081.00,315033.00,391992.00,393201.00,390094.00,579442.00,726403.00,870258.00,865631.00,896962.00,951720.00,926557.00,990430.00,1089359.00,1100038.00,1303516.00,822588.00,672042.00,789442.00,816979.00,858473.00,993329.00,821494.00,1157630.00,1222334.00
80,A001-134,General,Mechanical Equipment Permits,78292.00,93375.00,190997.00,209829.00,178062.00,165391.00,140492.00,154961.00,145639.00,149594.00,196177.00,175022.00,242028.00,236705.00,208997.00,257045.00,262601.00,322734.00,330762.00,365951.00,512276.00,702361.00,655083.00,682971.00,756898.00,964771.00,922695.00,1004796.00,900589.00,961119.00,988782.00,723793.00,599922.00,727629.00,788213.00,784339.00,906680.00,878815.00,1071718.00,1060044.00
81,A001-135,General,Plumbing Permits,67419.00,74159.00,104889.00,93907.00,83994.00,105109.00,90105.00,94428.00,110610.00,89003.00,82955.00,88854.00,101291.00,131329.00,83788.00,79167.00,80472.00,100285.00,100982.00,119028.00,176072.00,263556.00,282807.00,300089.00,292929.00,418182.00,382486.00,504779.00,555421.00,553875.00,564877.00,434774.00,419261.00,497241.00,475454.00,489816.00,569682.00,570520.00,655115.00,626855.00
82,A001-136,General,Elevator Permits,85434.00,85895.00,4423.00,3797.00,2590.00,3673.00,2835.00,6649.00,3484.00,6426.00,4345.00,3580.00,3632.00,4809.00,4739.00,2663.00,1322.00,2035.00,721.00,1490.00,3091.00,2855.00,5136.00,2330.00,2640.00,2560.00,7390.00,4035.00,3725.00,3330.00,49.00,4850.00,1915.00,1985.00,2957.00,3228.00,275.00,1740.00,1700.00,815.00
83,A001-137,General,Filing Fees - Building Permits, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,157670.00,209271.00,507478.00,486685.00,531450.00,589346.00,678569.00,835997.00,1056364.00,1111431.00,1041455.00,890724.00,1145102.00,1185628.00,1130401.00,1064476.00,1347785.00,1477034.00,1646408.00,1423091.00
84,A001-138,General,Alarm System Registration Permits, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,614238.00,677590.00,667934.00,642700.00,525642.00,489319.00,432601.00,332070.00,618063.00,293856.00,34865.00,58005.00,63499.00,32577.00
85,A001-139,General,Public Assembly Permits,54345.00,35556.00,42589.00,70638.00,36334.00,53712.00,37730.00,37545.00,34037.00,41062.00,32702.00,33581.00,34385.00,31275.00,28127.00,31873.00,36126.00,56417.00,21184.00,35072.00,59883.00,39705.00,14077.00,11674.00,14657.00,8231.00,4514.00,5018.00,8968.00,9117.00,5246.00,7364.00,9729.00,8869.00,15570.00,11479.00,23971.00,7651.00,6236.00,8120.00
86,A001-140,General,Professional and Occupational Licenses,52521.00,45818.00,49672.00,49841.00,48940.00,49893.00,45583.00,71356.00,70504.00,69145.00,73192.00,94037.00,85630.00,156321.00,184336.00,191195.00,202931.00,220206.00,224046.00,203627.00,213739.00,205167.00,190436.00,190193.00,205068.00,215409.00,253754.00,184505.00,196659.00,1018420.00,1043542.00,465331.00,936736.00,388448.00,367276.00,280817.00,488289.00,535455.00,707259.00,565515.00
87,A001-141,General,Vacant Structure Fee, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,411950.00,216052.00,488045.00,533021.00,481026.00,594996.00,613630.00
88,A001-143,General,Amusement Device Licenses,432209.00,434054.00,477360.00,574917.00,679781.00,1364467.00,1360841.00,1225225.00,1106058.00,1062999.00,1130814.00,987096.00,1209872.00,1187837.00,1171013.00,1119092.00,1225681.00,1248877.00,1157555.00,1171371.00,523732.00,506643.00,486286.00,476641.00,601997.00,772439.00,735114.00,846289.00,814886.00,390098.00,428223.00,624834.00,340474.00,749298.00,581674.00,1300164.00,707092.00,49451.00,34230.00,69.00
89,A001-145,General,Dog Licenses and Kennel Permits,176252.00,158857.00,131888.00,124667.00,97045.00,116742.00,114997.00,105219.00,118533.00,93957.00,81235.00,125960.00,76781.00,68716.00,63499.00,66027.00,69015.00,68167.00,69578.00,74284.00,78923.00,67479.00,74755.00,51367.00,137069.00,125825.00,96881.00,118159.00,93810.00,102743.00,110626.00,109113.00,106803.00,89487.00,46546.00,31618.00,6650.00,11340.00,9990.00,12130.00
90,A001-146,General,Special Police Appointment Fees,2400.00,2895.00,3465.00,4027.00,3965.00,3930.00,3535.00,4855.00,2440.00,3330.00,1270.00,2895.00,1035.00, $-   , $-   ,2060.00,4365.00,5640.00,16308.00,15854.00,14308.00,19360.00,13243.00,9278.00,9768.00,6688.00,10544.00,11329.00,18616.00,3862.00,28005.00,7649.00,12044.00,11749.00,6468.00,2779.00,3066.00,3948.00,1722.00,420.00
91,A001-149,General,Vacant Lot Registration Fees, $-   , $-   , $-   , $-   , $-   ,36543.00,36830.00,38555.00,35370.00,34121.00,30869.00,28822.00,26754.00,26942.00,22890.00,24240.00,22660.00,20990.00,20573.00,19575.00,17196.00,18686.00,22080.00,19340.00,18272.00,18070.00,31021.00,17199.00,47534.00,45337.00,110098.00,128710.00,108152.00,120270.00,27548.00,135064.00,111081.00,134413.00,174412.00,113103.00
92,A001-150,General,Trades Licenses, $-   , $-   , $-   , $-   , $-   , $-   ,59610.00,63730.00,62065.00,62885.00,62820.00,64121.00,145900.00,173535.00,174970.00,176790.00,179525.00,183755.00,175493.00,202216.00,198381.00,202730.00,194175.00,205962.00,155309.00,126277.00,126040.00,128160.00,136190.00,143445.00,142360.00,145770.00,147117.00,143790.00,144320.00,133950.00,133055.00,132520.00,131795.00,127105.00
93,A001-151,General,Food Dealer Permits,100186.00,95223.00,100103.00,104796.00,251302.00,342928.00,272583.00,310201.00,297404.00,336210.00,278862.00,322473.00,274107.00,300345.00,963521.00,1418409.00,1407014.00,1429595.00,1377259.00,1347955.00,1481951.00,1452776.00,1234436.00,1605855.00,1885135.00,2000808.00,2064856.00,1953483.00,2081287.00,1996257.00,2013818.00,1945935.00,1934497.00,2230976.00,2048350.00,2742855.00,1961665.00,2071757.00,1838720.00,1744399.00
94,A001-152,General,Swimming Pool Licenses,5700.00,6100.00,5790.00,6400.00,6700.00,7600.00,7300.00,6500.00,8000.00,8000.00,8500.00,8900.00,13350.00,13100.00,12900.00,13800.00,13500.00,14500.00,13800.00,17400.00,18620.00,13200.00,17910.00,13315.00,29250.00,40500.00,30220.00,33850.00,33800.00,30620.00,35250.00,31150.00,28859.00,32838.00,39838.00,63070.00,67795.00,70635.00,65885.00,61550.00
95,A001-153,General,,1985.00,1535.00,1323.00,1940.00,2410.00,6277.00,4935.00,6910.00,8582.00,8833.00,18240.00,13454.00,26330.00,22143.00,15006.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
96,A001-154,General,Solid Waste Collection Permits, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,2558.00,94567.00,140826.00,111581.00,104251.00,117035.00,96591.00,106451.00,93476.00,128691.00,226478.00,141586.00,142767.00,176922.00,154475.00,148713.00,56478.00,148371.00,149152.00,149922.00,144196.00,136565.00,157498.00,137165.00,133309.00
97,A001-163,General,Minor Privilege Permits,589329.00,566634.00,587075.00,583628.00,543160.00,881307.00,895657.00,913936.00,955710.00,851540.00,899263.00,894378.00,1020320.00,1343535.00,1293987.00,1252684.00,1062973.00,1220552.00,1089052.00,1150909.00,1033400.00,1088297.00,1025666.00,1074841.00,1176681.00,1349545.00,1521667.00,1787759.00,2085081.00,2013081.00,2343516.00,2293575.00,2400758.00,2368233.00,2427098.00,2373979.00,2468191.00,2380706.00,2470621.00,1639536.00
98,A001-164,General,Public Utility Pole Permits,251940.00,204459.00,254360.00,252800.00,238680.00,229760.00,226080.00,427728.00,347282.00,472264.00,402382.00,350360.00,397746.00,521350.00,499750.00,499400.00,521050.00,516850.00,512950.00,508250.00,500850.00,496350.00,493750.00,489600.00,488200.00,487100.00,430700.00,484300.00,482600.00,121322.00,69927.00,202866.00,4129.00,558081.00,565872.00,569465.00,526200.00,532600.00,553150.00,561550.00
99,A001-166,General,Telephone Conduit Franchise,110375.00,110740.00,221579.00,110097.00,111277.00,112079.00,112944.00,111000.00,117530.00,114949.00,115153.00,115275.00,115489.00,115627.00,115868.00,115988.00,116291.00,116427.00,116000.00,116517.00,117101.00,116823.00,117626.00,118265.00,118244.00,118602.00,116615.00,122680.00,120972.00,105862.00,118054.00,118185.00,118438.00,118000.00,118638.00, $-   ,237763.00, $-   , $-   , $-   
100,A001-169,General,Permits and Inspections - Private Paving,76595.00,73600.00,55690.00,72718.00,46303.00,96788.00,97153.00,90275.00,95222.00,76926.00,73163.00,84837.00,104867.00,138830.00,148762.00,139424.00,112307.00,134723.00,181831.00,65700.00,35857.00,63848.00,46518.00,41463.00,48474.00,25350.00,25655.00,24060.00,29792.00,43805.00,46157.00,81826.00,31592.00,141447.00,35360.00,60035.00,83275.00,58170.00,62221.00,62219.00
101,A001-170,General,Development Agreement Fee, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,8552.00,143957.00,102853.00,201387.00,130716.00,169039.00,47651.00,495777.00,511874.00,466098.00,1323766.00,810685.00,767970.00,776339.00,843630.00,552334.00,271387.00,194699.00,136507.00,138096.00,442415.00,478690.00,1010804.00,1234357.00
102,A001-171,General,Street Cut Permits, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,24197.00,381937.00,327475.00,425985.00,626644.00,481393.00,485281.00,476050.00,695198.00,531060.00
103,A001-173,General,Special Event Permits,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,144803.00,209116.00
104,A001-177,General,Court-Ordered Restitution and Misc Fines,8121.00,3008.00,8816.00,12276.00,14310.00,-336.00,23150.00,25058.00,16321.00,27680.00,20893.00,30559.00,32607.00,33280.00,100954.00,157709.00,37271.00,16380.00,1565.00,1080.00,1693.00,329.00,733.00,2653.00,6477.00,3682.00,1758.00,1429.00,1260.00,3675.00,1707.00,1970.00,2144.00,3084.00,10252.00,7780.00,9425.00,8887.00,32520.00,81202.00
105,A001-178,General,Civil Citations, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,12785.00,35552.00,52389.00,32885.00,28205.00,47745.00,53771.00,60650.00,79115.00,78960.00,132442.00,96682.00,44564.00,23635.00
106,A001-179,General,Sheriff Revenue,554665.00,446307.00,736743.00,675734.00,558315.00,684036.00,871950.00,593351.00,830728.00,1053743.00,1444992.00,1153597.00,1063073.00,868975.00,1068735.00,660252.00,526628.00,438866.00,338441.00,321421.00,282975.00,291505.00,618200.00,365080.00,334032.00,362173.00,223990.00,462092.00,623627.00,284471.00,171654.00,180227.00,297462.00,226604.00,195747.00,217881.00,206186.00,248975.00,252546.00,235438.00
107,A001-180,General,Forfeitures Drug/Gambling Contraband,168342.00,78118.00,79288.00,128608.00,128166.00,241204.00,265109.00,410934.00,1057180.00,524707.00,332364.00,1510396.00,1160621.00,1186559.00,746442.00,1352773.00,1553560.00,1254783.00,1294066.00,1194287.00,1343266.00,1873755.00,2192713.00,140999.00,1235798.00,1561608.00,3772970.00,2508808.00,2002699.00,2006933.00,1975865.00,1806669.00,572368.00,237045.00,254115.00,395246.00,4915318.00,6804277.00,59173.00,1500000.00
108,A001-181,General,Minimum Wage Violations,39582.00,48614.00,61584.00,56279.00,48723.00,52707.00,58251.00,92133.00,86283.00,93892.00,85304.00,53942.00,42152.00,46087.00,31606.00,56089.00,48920.00,45164.00,47025.00,28718.00,76873.00,71389.00,87143.00,57599.00,19224.00,14200.00,23474.00,7500.00,6000.00,70222.00,85125.00,32024.00,57328.00,53240.00,57670.00,42042.00,55383.00,56272.00,65364.00,182090.00
109,A001-182,General,Environmental Control Board Fines, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,4598965.00,4252331.00,5558219.00,6434212.00,5807805.00,6399223.00,6241571.00,7194983.00,7612862.00,7530519.00
110,A001-183,General,,683896.00,334010.00,385076.00,360212.00,407499.00,364108.00,453360.00,488158.00,1510196.00,1853422.00,1711589.00,2712643.00,2155502.00,2531475.00,2358266.00,2803288.00,123435.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
111,A001-185,General,Bad Check Charge,24470.00,22094.00,21838.00,14627.00,26029.00,25352.00,30979.00,1643.00,25856.00,26275.00,34005.00,35865.00,36435.00,57619.00,59056.00,60128.00,53628.00,46114.00,45499.00,52422.00,44805.00,55561.00,60921.00,80302.00,76275.00,83587.00,69271.00,61657.00,55875.00,55052.00,26267.00,46121.00,79580.00,36526.00,-98914.00,85349.00,-67123.00,-145968.00,-190150.00,18152.00
112,A001-186,General,District Court Housing Fines,51762.00,57752.00,80141.00,60937.00,30549.00,77773.00,18347.00, $-   ,11718.00,29852.00,88411.00,158533.00,82223.00,55998.00,32260.00,38735.00,31365.00,55736.00,57220.00,79560.00,133992.00,77423.00,72710.00,33237.00,47886.00,15708.00,60343.00,56535.00,54959.00,41333.00,25043.00,3626.00,370.00,9468.00,5328.00,5650.00,4615.00,2370.00,70.00, $-   
113,A001-187,General,Liquor Board Fines, $-   , $-   , $-   ,10750.00,17950.00,15400.00,9130.00,21850.00,18515.00,41830.00,28852.00,38250.00,76000.00,46000.00,77272.00,56850.00,51416.00,46175.00,60870.00,81725.00,122859.00,92333.00,106331.00,160191.00,214371.00,151605.00,74375.00,115856.00,316445.00,159405.00,172888.00,263151.00,156608.00,99435.00,104700.00,94380.00,69050.00,151935.00,144148.00,154764.00
114,A001-188,General,Library Fines,62772.00,53939.00,60656.00,58329.00,64261.00,61660.00,58025.00,71801.00,84712.00,101061.00,111652.00,125596.00,141549.00,143055.00,171793.00,120716.00,196699.00,227690.00,252995.00,176772.00,213069.00,217073.00,198606.00,190354.00,227597.00,208017.00,168825.00,325339.00,259028.00,246390.00,235454.00,261868.00,215789.00,217798.00,188074.00,152876.00,249248.00,183111.00,206802.00,230956.00
115,A001-189,General,Stormwater and Sediment Control Penalties, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,1800.00,17800.00,5770.00,4700.00,2300.00, $-   , $-   ,6250.00,4232.00,3900.00,8900.00,1600.00, $-   
116,A001-190,General,Street Cut Fines, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,4200.00,9300.00,18206.00,5055.00, $-   , $-   , $-   , $-   , $-   
117,A001-191,General,Red Light Fines, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,457143.00,3500431.00,5905898.00,5095681.00,8526499.00,11072001.00,5335480.00,6016735.00,4873295.00,6066347.00,8000729.00,9742349.00,6756416.00,8174379.00,6878141.00,1215203.00,218031.00,92762.00,29402.00
118,A001-192,General,Right Turn on Red Fines, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,2178369.00,2503059.00,1619224.00,369608.00,66234.00,-17604.00, $-   
119,A001-193,General,Speed Cameras, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,2449194.00,16701607.00,20242940.00,13468494.00,1271392.00,325458.00,80786.00,75772.00
120,A001-200,General,Earnings on Investments,8336938.00,7786153.00,9913082.00,17336436.00,15245758.00,7927382.00,7980679.00,8444440.00,9598502.00,9505210.00,11215380.00,9972691.00,11631433.00,12230616.00,12393788.00,12145924.00,12169764.00,16658358.00,15168437.00,13281975.00,13650990.00,13450183.00,12354989.00,10688588.00,5193459.00,3451118.00,1365278.00,3971484.00,10728119.00,16224775.00,13513091.00,5318837.00,1925008.00,955953.00,611220.00,423855.00,1053328.00,810887.00,750132.00,1420837.00
121,A001-201,General,Rental of City Property,296658.00,338337.00,318802.00,380729.00,391696.00,415646.00,753526.00,613490.00,801831.00,981372.00,849087.00,910219.00,506623.00,426923.00,531655.00,512049.00,500398.00,478933.00,564959.00,649214.00,498598.00,588066.00,636133.00,697502.00,727075.00,665572.00,730507.00,799455.00,834129.00,920865.00,940752.00,979912.00,1075103.00,1228783.00,933163.00,1528243.00,1060706.00,2561471.00,2976208.00,3490634.00
122,A001-202,General,Interest Differential Off-Street Parking,88016.00,95685.00,113222.00,113417.00,144421.00,117311.00,81517.00,89109.00,206584.00,91579.00,75267.00,71542.00,62314.00,52482.00,49124.00,44950.00,39901.00,35233.00,32855.00,28822.00,25882.00,22269.00,17725.00,13842.00,11522.00,9766.00,8011.00,5979.00,4824.00,3532.00,2888.00,2338.00,1788.00,1238.00,688.00,138.00, $-   , $-   , $-   , $-   
123,A001-203,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,205708.00,87113.00,105758.00, $-   ,212623.00,106846.00,106847.00, $-   ,605210.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
