"Q1","Q2","Q3","Q4","Q5AF1","Q5BF1","Q5CF1","Q5DF1","Q5AF2","Q5BF2","Q5CF2","Q5DF2","Q6A","Q6B","RELIG","BORN","QNO","CASEID","SEX","HEADHH","EMPLOY","PARTY","PARTYLN","PARTYFUL","OCCUP","MARITAL","OWN","HHNUM","CHILD1","CHILD2","CHILD3","EDUC","AGE","HISP","RACE1","RACE2","RACE3","RACE4","INC1","INC2","INC3","WEIGHT","TIMEZONE","STATE","METRO","DIVISION","REGION","INTDATE"
"Favor ",NA,"Oppose ","Heard of it, but not sure what it means ","Mostly disagree ","Mostly disagree ","Mostly agree ","Mostly agree ",NA,NA,NA,NA,"Yes ","No ","Catholic ",NA,328003147,3147,"Female ","No ","Not currently employed ","Democrat ",NA,"Democrat ",NA,"Single and never been married ","Rent ","Five ","No ","No ","Yes ","Some college, but no degree ","30-34 ","No ","Black/African-american ",NA,NA,NA,"Less than $50,000 ","$25,000 but less than $30,000 ",NA,1.6553,"Central","MISSOURI","In Center City of Metropolitan Area ","West North Central","Midwest ",81211
"Strongly favor ",NA,"Favor ","Know what term means ",NA,NA,NA,NA,"Completely agree ","Completely agree ","Completely agree ","Completely agree ","Yes ","Yes ","Protestant ","No ",328003160,3160,"Female ","Yes ","Retired ","Democrat ",NA,"Democrat ",NA,"Separated ","Rent ","One ",NA,NA,NA,"College graduate/Bachelors degree ","55-59 ","No ","Refused/Nr ",NA,NA,NA,"Less than $50,000 ","$40,000 but less than $50,000 ",NA,0.3073,"Eastern","MARYLAND","In Center City of Metropolitan Area ","South Atlantic","South ",81211
"Strongly favor ",NA,"Oppose ","Never heard of term ","Completely agree ","Completely agree ","Completely agree ","Mostly agree ",NA,NA,NA,NA,"Yes ","No ","Protestant ","Yes ",328003193,3193,"Female ","No ","Refused/Nr ","Democrat ",NA,"Democrat ",NA,"Widowed ","Rent ","Four ","Yes ","No ","Yes ","High school complete (grade 12) ","75 or older ","Refused/Nr ","Black/African-american ",NA,NA,NA,"Less than $50,000 ","Under $25,000 ",NA,0.587,"Eastern","NORTH CAROLINA","In Center City of Metropolitan Area ","South Atlantic","South ",81211
"Strongly oppose ","Completely disagree ","Oppose ","Know what term means ","Mostly agree ","Mostly agree ","Mostly disagree ","Mostly agree ",NA,NA,NA,NA,"No ","No ","Nothing in particular ",NA,328003236,3236,"Female ","Yes ","Employed full time ","Independent ","Democratic ","Independent-lean Democratic ","Blue collar -- craftsmen/Foremen ","Married ","Own ","Three ","No ","No ","No ","High school complete (grade 12) ","60-64 ","No ","White/Caucasian ",NA,NA,NA,"Less than $50,000 ","Under $25,000 ",NA,0.7573,"Eastern","OHIO","In Non-Metropolitan Area ","East North Central","Midwest ",81311
"Strongly oppose ","Completely disagree ","Oppose ","Heard of it, but not sure what it means ","Completely agree ","Completely agree ","Completely agree ","Mostly disagree ",NA,NA,NA,NA,"No ","No ","Christian or 'Just Christian' ","Yes ",328003240,3240,"Female ","Yes ","Employed full time ","Independent ","Democratic ","Independent-lean Democratic ","White collar -- professional, managerial, owner ","Divorced ","Own ","Four ","No ","No ","Yes ","High school complete (grade 12) ","60-64 ","No ","White/Caucasian ",NA,NA,NA,"Less than $50,000 ","$40,000 but less than $50,000 ",NA,0.7573,"Eastern","OHIO","In Center City of Metropolitan Area ","East North Central","Midwest ",81211
"Favor ",NA,"Favor ","Know what term means ",NA,NA,NA,NA,"Completely agree ","Completely agree ","Mostly disagree ","Completely agree ","Yes ","No ","Protestant ","No ",328003267,3267,"Female ","Yes ","Retired ","Independent ","Republican ","Independent-lean Republican ",NA,"Married ","Own ","Three ","No ","Yes ","No ","Some college, but no degree ","65-69 ","No ","White/Caucasian ",NA,NA,NA,"Don't know/refused/Nr ",NA,NA,0.2737,"Eastern","SOUTH CAROLINA","In Center City of Metropolitan Area ","South Atlantic","South ",81211
"Strongly oppose ","Mostly disagree ","Oppose ","Heard of it, but not sure what it means ",NA,NA,NA,NA,"Completely agree ","Mostly agree ","Mostly disagree ","Mostly disagree ","No ","No ","Protestant ","No ",328003287,3287,"Male ","Yes ","Retired ","Republican ",NA,"Republican ",NA,"Divorced ","Own ","One ",NA,NA,NA,"Some college, but no degree ","70-74 ","No ","White/Caucasian ",NA,NA,NA,"Less than $50,000 ","$40,000 but less than $50,000 ",NA,0.3018,"Central","LOUISIANA","In Center City of Metropolitan Area ","West South Central","South ",81211
"Strongly favor ",NA,"Favor ","Know what term means ",NA,NA,NA,NA,"Completely agree ","Completely agree ","Completely agree ","Completely agree ","No ","No ","Nothing in particular ",NA,328003303,3303,"Female ","Yes ","Employed full time ","Democrat ",NA,"Democrat ","Blue collar -- craftsmen/Foremen ","Married ","Own ","Two ","No ","No ","No ","High school complete (grade 12) ","55-59 ","No ","White/Caucasian ",NA,NA,NA,"Don't know/refused/Nr ",NA,NA,0.497,"Eastern","FLORIDA","Outside Center City, Inside Center City County ","South Atlantic","South ",81211
"Don't know/Refused ","Don't know/Refused ","Don't know/Refused ","Know what term means ",NA,NA,NA,NA,"Don't know/Refused ","Don't know/Refused ","Don't know/Refused ","Don't know/Refused ","Yes ","No ","Protestant ","Yes ",328003305,3305,"Female ","No ","Retired ","Independent ","Neither/Other ","Independent ",NA,"Married ","Own ","Two ","No ","No ","No ","Some college, but no degree ","65-69 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$50,000 but less than $60,000 ",0.5474,"Eastern","FLORIDA","In Non-Metropolitan Area ","South Atlantic","South ",81211
"Strongly oppose ","Completely disagree ","Favor ","Heard of it, but not sure what it means ","Mostly agree ","Mostly agree ","Completely disagree ","Mostly agree ",NA,NA,NA,NA,"No ","No ","Protestant ","Yes ",328003306,3306,"Male ","Yes ","Employed full time ","Republican ",NA,"Republican ","White collar -- sales, clerical ","Married ","Own ","Five ","Yes ","Yes ","No ","High school complete (grade 12) ","35-39 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$125,000 or more ",1.8684,"Central","LOUISIANA","In Non-Metropolitan Area ","West South Central","South ",81311
"Strongly oppose ","Completely disagree ","Oppose ","Heard of it, but not sure what it means ","Mostly disagree ","Completely agree ","Completely disagree ","Completely agree ",NA,NA,NA,NA,"No ","No ","Protestant ","No ",328003328,3328,"Female ","Yes ","Homemaker ","Independent ","Neither/Other ","Independent ",NA,"Married ","Rent ","Five ","No ","Yes ","No ","Associates degree ","50-54 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$50,000 but less than $60,000 ",1.0818,"Eastern","WEST VIRGINIA","In Center City of Metropolitan Area ","South Atlantic","South ",81311
"Strongly oppose ","Completely disagree ","Oppose ","Know what term means ","Completely agree ","Completely disagree ","Completely disagree ","Completely agree ",NA,NA,NA,NA,"Yes ","No ","Protestant ","Yes ",328003332,3332,"Male ","Yes ","Employed full time ","Republican ",NA,"Republican ","White collar -- professional, managerial, owner ","Single and never been married ","Own ","Three ","No ","No ","No ","Postgraduate Degree, such as Master's, PH.D., MD, JD ","55-59 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$60,000 but less than $75,000 ",0.3465,"Central","TEXAS","Outside Center City, Inside Center City County ","West South Central","South ",81211
"Favor ",NA,"Favor ","Never heard of term ","Completely disagree ","Mostly disagree ","Completely disagree ","Completely disagree ",NA,NA,NA,NA,"No ","No ","Protestant ","No ",328003369,3369,"Female ","Yes ","Retired ","Republican ",NA,"Republican ",NA,"Widowed ","Own ","One ",NA,NA,NA,"High school complete (grade 12) ","75 or older ","No ","Refused/Nr ",NA,NA,NA,"Don't know/refused/Nr ",NA,NA,0.8479,"Eastern","FLORIDA","Outside Center City, Inside Center City County ","South Atlantic","South ",81411
"Oppose ","Mostly agree ","Favor ","Never heard of term ",NA,NA,NA,NA,"Mostly agree ","Mostly disagree ","Mostly disagree ","Mostly disagree ","Yes ","Yes ","Nothing in particular ",NA,328003378,3378,"Female ","Yes ","Employed full time ","Republican ",NA,"Republican ","Blue collar -- semiskilled, unskilled ","Single and never been married ","Own ","Four ","No ","No ","Yes ","High school complete (grade 12) ","45-49 ","No ","Black/African-american ",NA,NA,NA,"Less than $50,000 ","Under $25,000 ",NA,2.3202,"Eastern","GEORGIA","Inside Suburban County of Metropolitan Area ","South Atlantic","South ",81211
"Strongly favor ",NA,"Oppose ","Know what term means ",NA,NA,NA,NA,"Completely agree ","Completely agree ","Completely agree ","Mostly disagree ","Yes ","No ","Nothing in particular ",NA,328003406,3406,"Male ","Yes ","Employed full time ","Democrat ",NA,"Democrat ","Service worker ","Married ","Own ","Four ","Yes ","No ","Yes ","Postgraduate Degree, such as Master's, PH.D., MD, JD ","40-44 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$100,000 but less than $125,000 ",0.5776,"Eastern","FLORIDA","In Center City of Metropolitan Area ","South Atlantic","South ",81211
"Strongly favor ",NA,"Favor ","Heard of it, but not sure what it means ",NA,NA,NA,NA,"Completely agree ","Completely agree ","Completely agree ","Completely disagree ","Yes ","No ","Catholic ",NA,328003426,3426,"Female ","Refused/Nr ","Employed full time ","Democrat ",NA,"Democrat ","White collar -- professional, managerial, owner ","Married ","Own ","Three ","No ","No ","No ","High school complete (grade 12) ","55-59 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$75,000 but less than $100,000 ",0.497,"Central","TEXAS","Inside Suburban County of Metropolitan Area ","West South Central","South ",81211
"Strongly oppose ","Completely disagree ","Oppose ","Know what term means ",NA,NA,NA,NA,"Mostly agree ","Mostly agree ","Mostly disagree ","Mostly disagree ","No ","No ","Protestant ","No ",328003441,3441,"Male ","Yes ","Employed full time ","Republican ",NA,"Republican ","White collar -- professional, managerial, owner ","Married ","Own ","Four ","No ","No ","Yes ","College graduate/Bachelors degree ","45-49 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$125,000 or more ",0.3902,"Eastern","SOUTH CAROLINA","In Center City of Metropolitan Area ","South Atlantic","South ",81311
"Strongly favor ",NA,"Favor ","Know what term means ","Completely agree ","Completely agree ","Completely agree ","Mostly agree ",NA,NA,NA,NA,"Yes ","No ","Protestant ","No ",328003451,3451,"Male ","Yes ","Retired ","Democrat ",NA,"Democrat ",NA,"Married ","Own ","Two ","No ","No ","No ","College graduate/Bachelors degree ","75 or older ","No ","White/Caucasian ",NA,NA,NA,"Don't know/refused/Nr ",NA,NA,0.5781,"Eastern","VIRGINIA","Inside Suburban County of Metropolitan Area ","South Atlantic","South ",81211
"Strongly oppose ","Completely disagree ","Oppose ","Know what term means ","Completely agree ","Completely agree ","Completely agree ","Completely agree ",NA,NA,NA,NA,"Yes ","No ","Protestant ","Yes ",328003461,3461,"Female ","Yes ","Not currently employed ","Republican ",NA,"Republican ",NA,"Married ","Own ","Five ","Yes ","No ","No ","High school complete (grade 12) ","60-64 ","No ","White/Caucasian ",NA,NA,NA,"Less than $50,000 ","Under $25,000 ",NA,0.9939,"Eastern","KENTUCKY","In Non-Metropolitan Area ","East South Central","South ",81211
"Strongly oppose ","Completely disagree ","Favor ","Heard of it, but not sure what it means ","Mostly agree ","Mostly agree ","Don't know/Refused ","Mostly disagree ",NA,NA,NA,NA,"Yes ","No ","Mormon ",NA,328003474,3474,"Female ","Yes ","Retired ","Don't know/Refused ","Don't know/Refused ","Don't know/Refused ",NA,"Divorced ","Refused/Nr ","Refused/Nr ",NA,NA,NA,"High school complete (grade 12) ","Refused/Nr ","No ","White/Caucasian ",NA,NA,NA,"Don't know/refused/Nr ",NA,NA,0.8378,"Eastern","VIRGINIA","Inside Suburban County of Metropolitan Area ","South Atlantic","South ",81211
"Strongly favor ",NA,"Favor ","Know what term means ",NA,NA,NA,NA,"Completely agree ","Mostly agree ","Completely agree ","Mostly agree ","Yes ","No ","Catholic ",NA,328003476,3476,"Male ","Yes ","Employed full time ","Independent ","Neither/Other ","Independent ","White collar -- professional, managerial, owner ","Married ","Rent ","Four ","Yes ","No ","No ","High school complete (grade 12) ","25-29 ","No ","White/Caucasian ","Some other race ",NA,NA,"Less than $50,000 ","$25,000 but less than $30,000 ",NA,4.1132,"Central","ILLINOIS","In Non-Metropolitan Area ","East North Central","Midwest ",81211
"Favor ",NA,"Favor ","Know what term means ","Completely agree ","Completely agree ","Completely agree ","Completely agree ",NA,NA,NA,NA,"Yes ","No ","Protestant ","Yes ",328003477,3477,"Female ","No ","Homemaker ","Independent ","Neither/Other ","Independent ",NA,"Married ","Rent ","Five ","Yes ","Yes ","No ","High school complete (grade 12) ","30-34 ","No ","White/Caucasian ",NA,NA,NA,"Less than $50,000 ","$30,000 but less than $35,000 ",NA,2.4304,"Mountain","TEXAS","In Center City of Metropolitan Area ","West South Central","South ",81211
"Oppose ","Mostly disagree ","Oppose ","Never heard of term ",NA,NA,NA,NA,"Mostly disagree ","Mostly disagree ","Mostly agree ","Mostly disagree ","No ","No ","Protestant ","Yes ",328003478,3478,"Male ","Yes ","Retired ","Democrat ",NA,"Democrat ",NA,"Married ","Rent ","Two ","No ","No ","No ","High school complete (grade 12) ","70-74 ","No ","White/Caucasian ",NA,NA,NA,"Less than $50,000 ","$35,000 but less than $40,000 ",NA,0.9351,"Eastern","NORTH CAROLINA","Inside Suburban County of Metropolitan Area ","South Atlantic","South ",81311
"Strongly oppose ","Completely disagree ","Favor ","Know what term means ",NA,NA,NA,NA,"Mostly agree ","Mostly agree ","Mostly disagree ","Completely agree ","No ","No ","Protestant ","No ",328003485,3485,"Female ","Yes ","Retired ","Independent ","Neither/Other ","Independent ",NA,"Living as married ","Own ","Two ","No ","No ","No ","Some college, but no degree ","65-69 ","No ","White/Caucasian ",NA,NA,NA,"Less than $50,000 ","$40,000 but less than $50,000 ",NA,0.5474,"Eastern","SOUTH CAROLINA","Inside Suburban County of Metropolitan Area ","South Atlantic","South ",81211
"Strongly favor ",NA,"Favor ","Know what term means ",NA,NA,NA,NA,"Completely agree ","Completely agree ","Completely agree ","Completely agree ","Yes ","No ","Nothing in particular ",NA,328003493,3493,"Male ","Yes ","Retired ","Independent ","Neither/Other ","Independent ",NA,"Divorced ","Own ","Two ","No ","No ","No ","Postgraduate Degree, such as Master's, PH.D., MD, JD ","60-64 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$60,000 but less than $75,000 ",0.6929,"Eastern","TENNESSEE","In Non-Metropolitan Area ","East South Central","South ",81211
"Strongly oppose ","Completely disagree ","Favor ","Know what term means ",NA,NA,NA,NA,"Mostly agree ","Completely agree ","Mostly disagree ","Mostly disagree ","No ","No ","Protestant ","Yes ",328003515,3515,"Female ","Yes ","Retired ","Independent ","Democratic ","Independent-lean Democratic ",NA,"Married ","Own ","Two ","No ","No ","No ","College graduate/Bachelors degree ","65-69 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$50,000 but less than $60,000 ",0.2621,"Eastern","GEORGIA","In Center City of Metropolitan Area ","South Atlantic","South ",81211
"Strongly oppose ","Completely disagree ","Favor ","Heard of it, but not sure what it means ",NA,NA,NA,NA,"Mostly agree ","Mostly agree ","Completely agree ","Mostly disagree ","Yes ","No ","Catholic ",NA,328003532,3532,"Female ","Yes ","Homemaker ","Republican ",NA,"Republican ",NA,"Married ","Own ","Four ","Yes ","No ","No ","College graduate/Bachelors degree ","30-34 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"Refused [unspecified after $50,000 or more] ",1.5026,"Central","TEXAS","In Non-Metropolitan Area ","West South Central","South ",81211
"Don't know/Refused ","Completely agree ","Favor ","Know what term means ",NA,NA,NA,NA,"Completely agree ","Completely agree ","Completely agree ","Completely agree ","Yes ","No ","Christian or 'Just Christian' ","No ",328003537,3537,"Female ","Yes ","Retired ","Democrat ",NA,"Democrat ",NA,"Single and never been married ","Own ","Two ","No ","No ","No ","Postgraduate Degree, such as Master's, PH.D., MD, JD ","60-64 ","Yes ","White/Caucasian ","Black/African-american ","Some other race ",NA,"Less than $50,000 ","$25,000 but less than $30,000 ",NA,0.7682,"Eastern","OHIO","In Center City of Metropolitan Area ","East North Central","Midwest ",81311
"Strongly oppose ","Mostly disagree ","Oppose ","Heard of it, but not sure what it means ",NA,NA,NA,NA,"Mostly agree ","Mostly agree ","Mostly agree ","Mostly agree ","No ","No ","Protestant ","Yes ",328003557,3557,"Female ","Yes ","Homemaker ","Republican ",NA,"Republican ",NA,"Married ","Own ","Two ","No ","No ","No ","High school complete (grade 12) ","70-74 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$60,000 but less than $75,000 ",0.8479,"Central","TENNESSEE","Outside Center City, Inside Center City County ","East South Central","South ",81211
"Oppose ","Mostly disagree ","Favor ","Know what term means ",NA,NA,NA,NA,"Mostly agree ","Mostly agree ","Mostly disagree ","Mostly disagree ","Yes ","No ","Protestant ","No ",328003569,3569,"Male ","Yes ","Employed full time ","Republican ",NA,"Republican ","White collar -- professional, managerial, owner ","Married ","Own ","Two ","No ","No ","No ","Postgraduate Degree, such as Master's, PH.D., MD, JD ","60-64 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$100,000 but less than $125,000 ",0.3465,"Central","LOUISIANA","In Center City of Metropolitan Area ","West South Central","South ",81211
"Favor ",NA,"Favor ","Heard of it, but not sure what it means ",NA,NA,NA,NA,"Completely agree ","Mostly agree ","Completely agree ","Mostly disagree ","Yes ","No ","Protestant ","No ",328003583,3583,"Male ","Yes ","Employed full time ","Republican ",NA,"Republican ","White collar -- professional, managerial, owner ","Married ","Own ","Two ","No ","No ","No ","High school complete (grade 12) ","21-24 ","No ","White/Caucasian ",NA,NA,NA,"Less than $50,000 ","$40,000 but less than $50,000 ",NA,1.8869,"Eastern","FLORIDA","In Center City of Metropolitan Area ","South Atlantic","South ",81211
"Oppose ","Mostly agree ","Favor ","Know what term means ",NA,NA,NA,NA,"Mostly agree ","Mostly agree ","Mostly agree ","Mostly disagree ","No ","No ","Christian or 'Just Christian' ","No ",328003598,3598,"Male ","Yes ","Employed full time ","Independent ","Republican ","Independent-lean Republican ","Blue collar -- semiskilled, unskilled ","Divorced ","Own ","One ",NA,NA,NA,"Some college, but no degree ","45-49 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$50,000 but less than $60,000 ",0.6209,"Central","IOWA","In Non-Metropolitan Area ","West North Central","Midwest ",81211
"Strongly favor ",NA,"Favor ","Know what term means ","Completely agree ","Completely agree ","Completely agree ","Completely agree ",NA,NA,NA,NA,"Yes ","Yes ","Nothing in particular ",NA,328003636,3636,"Female ","No ","Not currently employed ","Independent ","Democratic ","Independent-lean Democratic ",NA,"Single and never been married ","Own ","Three ","No ","No ","No ","Some college, but no degree ","25-29 ","No ","White/Caucasian ",NA,NA,NA,"Don't know/refused/Nr ",NA,NA,1.569,"Eastern","FLORIDA","In Center City of Metropolitan Area ","South Atlantic","South ",81411
"Strongly oppose ","Mostly disagree ","Favor ","Know what term means ","Mostly agree ","Mostly agree ","Mostly agree ","Completely agree ",NA,NA,NA,NA,"Yes ","Don't know/Refused ","Christian or 'Just Christian' ","Yes ",328003641,3641,"Female ","Yes ","Employed full time ","Republican ",NA,"Republican ","Blue collar -- semiskilled, unskilled ","Single and never been married ","Own ","One ",NA,NA,NA,"Some college, but no degree ","50-54 ","No ","White/Caucasian ",NA,NA,NA,"Less than $50,000 ","$25,000 but less than $30,000 ",NA,1.0818,"Central","TEXAS","In Non-Metropolitan Area ","West South Central","South ",81311
"Strongly favor ",NA,"Favor ","Know what term means ","Completely agree ","Completely agree ","Completely agree ","Mostly agree ",NA,NA,NA,NA,"Yes ","Yes ","Christian or 'Just Christian' ","No ",328003654,3654,"Female ","No ","Not currently employed ","Independent ","Democratic ","Independent-lean Democratic ",NA,"Single and never been married ","Refused/Nr ","Five ","No ","No ","Yes ","High school complete (grade 12) ","18-20 ","No ","Black/African-american ",NA,NA,NA,"Less than $50,000 ","Under $25,000 ",NA,4.1132,"Central","TENNESSEE","In Center City of Metropolitan Area ","East South Central","South ",81211
"Don't know/Refused ","Mostly agree ","Favor ","Never heard of term ","Completely agree ","Mostly agree ","Completely agree ","Completely disagree ",NA,NA,NA,NA,"No ","No ","Nothing in particular ",NA,328003659,3659,"Female ","Yes ","Employed part time ","Republican ",NA,"Republican ","Blue collar -- craftsmen/Foremen ","Married ","Own ","Two ","No ","No ","No ","College graduate/Bachelors degree ","50-54 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"Refused [unspecified after $50,000 or more] ",1.036,"Central","TEXAS","In Non-Metropolitan Area ","West South Central","South ",81211
"Strongly favor ",NA,"Favor ","Know what term means ","Completely agree ","Completely agree ","Completely agree ","Completely agree ",NA,NA,NA,NA,"Yes ","Yes ","Catholic ",NA,328003673,3673,"Female ","Yes ","Employed full time ","Democrat ",NA,"Democrat ","White collar -- professional, managerial, owner ","Married ","Own ","Three ","No ","Yes ","No ","Postgraduate Degree, such as Master's, PH.D., MD, JD ","45-49 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$50,000 but less than $60,000 ",0.3947,"Central","MISSOURI","In Center City of Metropolitan Area ","West North Central","Midwest ",81311
"Strongly oppose ","Completely disagree ","Favor ","Heard of it, but not sure what it means ","Mostly agree ","Mostly agree ","Completely disagree ","Mostly agree ",NA,NA,NA,NA,"Yes ","No ","Protestant ","Yes ",328003698,3698,"Female ","No ","Employed full time ","Democrat ",NA,"Democrat ","White collar -- professional, managerial, owner ","Separated ","Rent ","Four ","No ","No ","No ","Some college, but no degree ","50-54 ","No ","Black/African-american ",NA,NA,NA,"Less than $50,000 ","$30,000 but less than $35,000 ",NA,0.7489,"Eastern","FLORIDA","In Center City of Metropolitan Area ","South Atlantic","South ",81211
"Strongly oppose ","Completely disagree ","Oppose ","Know what term means ",NA,NA,NA,NA,"Completely agree ","Completely disagree ","Completely agree ","Completely agree ","No ","No ","Christian or 'Just Christian' ","Yes ",328003703,3703,"Male ","No ","Not currently employed ","Democrat ",NA,"Democrat ",NA,"Single and never been married ","Own ","Four ","No ","Yes ","No ","High school complete (grade 12) ","21-24 ","No ","Black/African-american ",NA,NA,NA,"Less than $50,000 ","$30,000 but less than $35,000 ",NA,0.9954,"Eastern","MICHIGAN","Inside Suburban County of Metropolitan Area ","East North Central","Midwest ",81311
"Favor ",NA,"Favor ","Know what term means ","Completely agree ","Completely agree ","Completely agree ","Mostly agree ",NA,NA,NA,NA,"Yes ","Yes ","Catholic ",NA,328003704,3704,"Female ","Yes ","Not currently employed ","Democrat ",NA,"Democrat ",NA,"Single and never been married ","Own ","One ",NA,NA,NA,"Postgraduate Degree, such as Master's, PH.D., MD, JD ","55-59 ","No ","White/Caucasian ",NA,NA,NA,"Less than $50,000 ","$25,000 but less than $30,000 ",NA,0.4682,"Eastern","MICHIGAN","In Center City of Metropolitan Area ","East North Central","Midwest ",81211
"Strongly favor ",NA,"Don't know/Refused ","Heard of it, but not sure what it means ","Completely disagree ","Completely agree ","Completely agree ","Mostly disagree ",NA,NA,NA,NA,"No ","No ","Protestant ","Yes ",328003708,3708,"Female ","Yes ","Retired ","Democrat ",NA,"Democrat ",NA,"Divorced ","Own ","One ",NA,NA,NA,"Some college, but no degree ","75 or older ","No ","White/Caucasian ",NA,NA,NA,"Less than $50,000 ","Under $25,000 ",NA,0.2085,"Eastern","INDIANA","In Center City of Metropolitan Area ","East North Central","Midwest ",81211
"Favor ",NA,"Favor ","Know what term means ","Completely agree ","Completely agree ","Mostly agree ","Mostly agree ",NA,NA,NA,NA,"Don't know/Refused ","Don't know/Refused ","Refused ",NA,328003753,3753,"Female ","Refused/Nr ","Refused/Nr ","Don't know/Refused ","Don't know/Refused ","Don't know/Refused ",NA,"Refused/Nr ","Refused/Nr ","Refused/Nr ",NA,NA,NA,"Refused/Nr ","Refused/Nr ","Refused/Nr ","Refused/Nr ",NA,NA,NA,"Don't know/refused/Nr ",NA,NA,0.521,"Eastern","NEW YORK","In Center City of Metropolitan Area ","Middle Atlantic","North East ",81211
"Favor ",NA,"Favor ","Know what term means ",NA,NA,NA,NA,"Completely agree ","Completely agree ","Completely agree ","Mostly disagree ","Yes ","No ","Protestant ","No ",328003757,3757,"Female ","No ","Retired ","Independent ","Democratic ","Independent-lean Democratic ",NA,"Married ","Own ","Two ","No ","No ","No ","Postgraduate Degree, such as Master's, PH.D., MD, JD ","75 or older ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$60,000 but less than $75,000 ",0.5242,"Eastern","WEST VIRGINIA","In Non-Metropolitan Area ","South Atlantic","South ",81211
"Strongly favor ",NA,"Favor ","Know what term means ",NA,NA,NA,NA,"Completely agree ","Completely agree ","Completely agree ","Mostly agree ","Yes ","No ","Refused ",NA,328003759,3759,"Male ","Yes ","Employed full time ","Democrat ",NA,"Democrat ","White collar -- sales, clerical ","Single and never been married ","Rent ","One ",NA,NA,NA,"College graduate/Bachelors degree ","25-29 ","No ","White/Caucasian ",NA,NA,NA,"Don't know/refused/Nr ",NA,NA,3.049,"Eastern","GEORGIA","Inside Suburban County of Metropolitan Area ","South Atlantic","South ",81211
"Strongly favor ",NA,"Oppose ","Know what term means ","Completely agree ","Mostly disagree ","Completely agree ","Completely disagree ",NA,NA,NA,NA,"Yes ","Yes ","Protestant ","Yes ",328003767,3767,"Female ","Yes ","Retired ","Democrat ",NA,"Democrat ",NA,"Widowed ","Own ","Three ","No ","Yes ","No ","High school complete (grade 12) ","55-59 ","No ","Black/African-american ",NA,NA,NA,"Less than $50,000 ","Under $25,000 ",NA,0.6881,"Central","LOUISIANA","Inside Suburban County of Metropolitan Area ","West South Central","South ",81211
"Strongly favor ",NA,"Favor ","Know what term means ","Completely agree ","Completely agree ","Completely agree ","Mostly agree ",NA,NA,NA,NA,"Yes ","No ","Catholic ",NA,328003775,3775,"Female ","Yes ","Retired ","Independent ","Democratic ","Independent-lean Democratic ",NA,"Married ","Own ","Four ","No ","No ","No ","Postgraduate Degree, such as Master's, PH.D., MD, JD ","50-54 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$125,000 or more ",0.7894,"Eastern","OHIO","Inside Suburban County of Metropolitan Area ","East North Central","Midwest ",81211
"Oppose ","Mostly disagree ","Oppose ","Know what term means ","Completely agree ","Mostly agree ","Mostly disagree ","Mostly agree ",NA,NA,NA,NA,"No ","No ","Catholic ",NA,328003786,3786,"Male ","Yes ","Retired ","Independent ","Neither/Other ","Independent ",NA,"Married ","Own ","Two ","No ","No ","No ","College graduate/Bachelors degree ","Refused/Nr ","No ","White/Caucasian ",NA,NA,NA,"Don't know/refused/Nr ",NA,NA,0.8802,"Central","ILLINOIS","Inside Suburban County of Metropolitan Area ","East North Central","Midwest ",81211
"Strongly oppose ","Completely disagree ","Favor ","Know what term means ","Completely agree ","Mostly agree ","Mostly agree ","Mostly agree ",NA,NA,NA,NA,"No ","No ","Protestant ","Yes ",328003789,3789,"Female ","Yes ","Employed full time ","Democrat ",NA,"Democrat ","White collar -- sales, clerical ","Single and never been married ","Own ","Three ","Yes ","No ","No ","Associates degree ","21-24 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$60,000 but less than $75,000 ",4.1132,"Eastern","OHIO","Inside Suburban County of Metropolitan Area ","East North Central","Midwest ",81211
